name,value,year,lastValue,rank
Bibi,139392,5,191783,27
Goshik,164060,5,184073,28
Falatino,154070,5,170700,29
Mc Jason,208186,5,156855,30
Azaleia,136130,5,151071,31
Varios_Saldos,117650,5,135558,32
Reef,194788,5,131827,33
Tiernitas,75012,5,109725,34
Euro Jack,119397,5,55755,35
Via Uno,21760,5,47460,36
Pigalle ,13090,5,39080,37
Disponible,41800,5,34300,38
FF,44850,5,26910,39
Annisa Group.,16445,5,13156,40
Havaianas,4820,5,10179,41
Democrata,5960,5,9940,42
SANJERIY,4097,5,6791,43
Legitimo,15700,5,6600,44
Pierre Cardin/Dali/Murakami,4400,5,6400,45
Crocs,1993,5,4684,46
Arye - Portter,3942,5,4392,47
Asics,1500,5,3500,48
Mormaii,249,5,2839,49
Aquarella,3387,5,2789,50
Rider,1256,5,2531,51
Rain Boot,1997,5,2495,52
Ginga,309,5,2163,53
Grendene,1497,5,2014,54
Euro Teens,400,5,1000,55
Retoric,700,5,700,56
Futbol,3100,5,500,57
Chiquillos,800,5,250,58
G&F,400,5,200,59
Miss Carol,4378454,6,4835880,1
Topper,3799014,6,3837533,2
Camarao,3271693,6,3571183,3
Reebok,3027034,6,3274053,4
PUSH,2534713,6,2919998,5
Puma,2113594,6,2498288,6
Converse,2213968,6,2353859,7
Lombardino,2569350,6,2322145,8
New Balance,2124803,6,2065257,9
Sumilon,1686958,6,1721468,10
Freeway ,1271148,6,1513383,11
Bottero,756788,6,1087819,12
Lady Confort,811306,6,967979,13
A.Giannini,806584,6,905905,14
Olympikus                 ,1014940,6,860852,15
Adidas,542232,6,800580,16
Umbro,733261,6,746975,17
Branch,730808,6,723032,18
Croco Kids,444804,6,698267,19
Vanzetti,500968,6,492375,20
North Sails N+,275640,6,476339,21
Wassington   ,406341,6,435825,22
Ador,268804,6,312159,23
Cuerart                  ,262737,6,275938,24
Bioconfort,118251,6,236130,25
Mc Jason,218900,6,208186,26
Reef,158506,6,194788,27
ZAXY,269742,6,184010,28
Goshik,128070,6,164060,29
Falatino,135150,6,154070,30
Bibi,89978,6,139392,31
Azaleia,87120,6,136130,32
Euro Jack,109747,6,119397,33
Varios_Saldos,154919,6,117650,34
Gallarate,312630,6,95340,35
Tiernitas,46683,6,75012,36
FF,32890,6,44850,37
Disponible,48400,6,41800,38
Via Uno,13660,6,21760,39
Annisa Group.,5083,6,16445,40
Legitimo,28310,6,15700,41
Pigalle ,10710,6,13090,42
Democrata,8450,6,5960,43
Havaianas,6380,6,4820,44
Pierre Cardin/Dali/Murakami,2400,6,4400,45
SANJERIY,699,6,4097,46
Arye - Portter,3192,6,3942,47
Aquarella,3188,6,3387,48
Futbol,1100,6,3100,49
Rain Boot,1298,6,1997,50
Crocs,1495,6,1993,51
Asics,2000,6,1500,52
Grendene,1689,6,1497,53
Rider,3050,6,1256,54
Chiquillos,350,6,800,55
Retoric,1100,6,700,56
Ginga,927,6,309,57
Mormaii,747,6,249,58
Disney,100,6,0,59
Hot Wheels,230,6,0,60
Miss Carol,2785286,7,4378454,1
Topper,3991689,7,3799014,2
Camarao,2383906,7,3271693,3
Reebok,3110654,7,3027034,4
Lombardino,1876741,7,2569350,5
PUSH,2981384,7,2534713,6
Converse,2651151,7,2213968,7
New Balance,1869928,7,2124803,8
Puma,1994086,7,2113594,9
Sumilon,1202189,7,1686958,10
Freeway ,799567,7,1271148,11
Olympikus                 ,814813,7,1014940,12
Lady Confort,804028,7,811306,13
A.Giannini,894604,7,806584,14
Bottero,481318,7,756788,15
Umbro,749049,7,733261,16
Branch,387581,7,730808,17
Adidas,993418,7,542232,18
Vanzetti,363848,7,500968,19
Croco Kids,289270,7,444804,20
Wassington   ,285680,7,406341,21
Gallarate,242190,7,312630,22
North Sails N+,366595,7,275640,23
ZAXY,186140,7,269742,24
Ador,95416,7,268804,25
Cuerart                  ,303221,7,262737,26
Mc Jason,85952,7,218900,27
Reef,137426,7,158506,28
Varios_Saldos,264489,7,154919,29
Falatino,124920,7,135150,30
Goshik,155790,7,128070,31
Bioconfort,101445,7,118251,32
Euro Jack,53632,7,109747,33
Bibi,289955,7,89978,34
Azaleia,250970,7,87120,35
Disponible,32400,7,48400,36
Tiernitas,35511,7,46683,37
FF,35880,7,32890,38
Legitimo,25840,7,28310,39
Via Uno,21510,7,13660,40
Pigalle ,45030,7,10710,41
Democrata,2980,7,8450,42
Havaianas,20430,7,6380,43
Annisa Group.,9269,7,5083,44
Arye - Portter,0,7,3192,45
Aquarella,8172,7,3188,46
Rider,11221,7,3050,47
Pierre Cardin/Dali/Murakami,1600,7,2400,48
Asics,499,7,2000,49
Grendene,4184,7,1689,50
Crocs,4583,7,1495,51
Rain Boot,399,7,1298,52
Kimika,100,7,1199,53
Futbol,1400,7,1100,54
Retoric,600,7,1100,55
Ginga,3399,7,927,56
Mormaii,5510,7,747,57
SANJERIY,3495,7,699,58
Chiquillos,900,7,350,59
Hot Wheels,1960,7,230,60
Disney,200,7,100,61
Topper,3270508,8,3991689,1
Reebok,2597438,8,3110654,2
PUSH,3632774,8,2981384,3
Miss Carol,2019010,8,2785286,4
Converse,2395982,8,2651151,5
Camarao,1781185,8,2383906,6
